"","state_abbr","county_name","votes_dem_2016","votes_gop_2016","votes_dem_2012","votes_gop_2012"
"1255","MI","Mecosta County",5827,10305,7515,9175
"1256","MI","Menominee County",3539,6704,5244,5565
"1257","MI","Midland County",15655,23877,17480,23942
"1258","MI","Missaukee County",1565,5386,2274,4665
"1259","MI","Monroe County",26859,43255,36310,35593
"1260","MI","Montcalm County",7874,16907,11431,13624
"1261","MI","Montmorency County",1286,3498,2049,2928
"1262","MI","Muskegon County",36640,35962,44436,30882
"1263","MI","Newaygo County",6212,15174,8723,12458
"1264","MI","Oakland County",342976,289127,349055,296531
"1265","MI","Oceana County",3973,7228,5063,6239
"1266","MI","Ogemaw County",3030,6827,4791,5437
"1267","MI","Ontonagon County",1175,2069,1585,1906
"1268","MI","Osceola County",2705,7336,3981,6140
"1269","MI","Oscoda County",1044,2843,1654,2308
"1270","MI","Otsego County",3556,8266,4681,7008
"1271","MI","Ottawa County",46276,90456,43068,88503
"1272","MI","Presque Isle County",2400,4486,3192,3794
"1273","MI","Roscommon County",4287,8141,6198,6701
"1274","MI","Saginaw County",44395,45469,54372,42716
"1275","MI","Sanilac County",4873,13446,7212,10961
"1276","MI","Schoolcraft County",1369,2556,1865,2142
"1277","MI","Shiawassee County",12547,19232,17197,15962
"1278","MI","St. Clair County",24553,49067,33845,39076
"1279","MI","St. Joseph County",7529,14886,10106,12975
"1280","MI","Tuscola County",7493,17421,11643,14517
"1281","MI","Van Buren County",13258,17890,16288,16140
"1282","MI","Washtenaw County",128025,50335,120791,56401
"1283","MI","Wayne County",517842,228908,595253,213586
"1284","MI","Wexford County",4436,10000,5717,7972
"1285","MN","Aitkin County",3134,5516,4412,4533
"1286","MN","Anoka County",75499,93341,88611,93430
"1287","MN","Becker County",5208,10880,6829,9204
"1288","MN","Beltrami County",8688,10783,11818,9637
"1289","MN","Benton County",5640,12872,8173,10849
"1290","MN","Big Stone County",921,1607,1345,1385
"1291","MN","Blue Earth County",14428,15667,18164,14916
"1292","MN","Brown County",3763,8708,5630,7938
"1293","MN","Carlton County",8460,8160,11389,6586
"1294","MN","Carver County",21508,29057,20745,31155
"1295","MN","Cass County",4949,9982,6858,8957
"1296","MN","Chippewa County",1978,3764,3083,2967
"1297","MN","Chisago County",9279,18441,12524,16227
"1298","MN","Clay County",12974,13549,15210,12920
"1299","MN","Clearwater County",1100,2925,1753,2359
"1300","MN","Cook County",1912,1156,1993,1221
"1301","MN","Cottonwood County",1678,3679,2433,3316
"1302","MN","Crow Wing County",10982,22287,14760,19415
"1303","MN","Dakota County",110251,99624,116252,109514
"1304","MN","Dodge County",3102,6527,4487,5522
"1305","MN","Douglas County",6227,13966,8665,11905
"1306","MN","Faribault County",2153,4659,3407,4104
"1307","MN","Fillmore County",3872,6271,5713,4913
"1308","MN","Freeborn County",6041,8808,9327,6970
"1309","MN","Goodhue County",9446,14041,12212,12986
"1310","MN","Grant County",1104,2063,1647,1748
"1311","MN","Hennepin County",429283,191768,423979,240073
"1312","MN","Houston County",4145,5616,5281,4951
"1313","MN","Hubbard County",3432,7269,4676,6622
"1314","MN","Isanti County",5656,13635,8024,11675
"1315","MN","Itasca County",9015,12920,12852,10500
"1316","MN","Jackson County",1492,3609,2268,3044
"1317","MN","Kanabec County",2327,5230,3586,4319
"1318","MN","Kandiyohi County",7266,12785,9806,11239
"1319","MN","Kittson County",823,1349,1241,1095
"1320","MN","Koochiching County",2306,3569,3451,2841
"1321","MN","Lac qui Parle County",1301,2294,1974,1938
"1322","MN","Lake County",3077,2932,4043,2610
"1323","MN","Lake of the Woods County",553,1540,859,1306
"1324","MN","Le Sueur County",4623,9182,6753,7714
"1325","MN","Lincoln County",860,1930,1428,1594
"1326","MN","Lyon County",3825,7256,5465,6595
"1327","MN","Mahnomen County",930,991,1276,871
"1328","MN","Marshall County",1225,3208,1854,2380
"1329","MN","Martin County",2733,7062,4054,6657
"1330","MN","McLeod County",4978,12155,6970,11069
"1331","MN","Meeker County",3192,8103,4969,6913
"1332","MN","Mille Lacs County",3709,8340,5829,6951
"1333","MN","Morrison County",3637,12925,6153,10159
"1334","MN","Mower County",7444,8826,11129,6938
"1335","MN","Murray County",1295,2974,2160,2504
"1336","MN","Nicollet County",7886,8436,9652,8214
"1337","MN","Nobles County",2733,5299,3793,4581
"1338","MN","Norman County",1264,1699,1730,1384
"1339","MN","Olmsted County",36266,35668,39338,36832
"1340","MN","Otter Tail County",9339,20939,12165,18860
"1341","MN","Pennington County",2146,4000,3024,3304
"1342","MN","Pine County",4580,8191,6750,6845
"1343","MN","Pipestone County",1127,3338,1728,2828
"1344","MN","Polk County",4712,8979,6773,7615
"1345","MN","Pope County",2106,3793,2981,3142
"1346","MN","Ramsey County",176929,70778,184936,86799
"1347","MN","Red Lake County",540,1141,928,978
"1348","MN","Redwood County",1887,5137,3008,4570
"1349","MN","Renville County",2117,4890,3394,4149
"1350","MN","Rice County",14437,15429,17054,14380
"1351","MN","Rock County",1373,3091,1945,2810
"1352","MN","Roseau County",1856,5451,2772,4409
"1353","MN","Scott County",28502,39948,29714,40321
"1354","MN","Sherburne County",13299,31049,17597,27848
"1355","MN","Sibley County",1954,5193,2916,4693
"1356","MN","St. Louis County",57769,44631,74177,39675
